,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
97,Samoa, , , , , , , , , , , , , , , ,8, , , , ,11, , , , ,10, , , , ,10, , , , ,9, , , , ,7, , , , , 
98,Sao Tome and Principe, , , , , , , , , , , , , , ,32, , , , ,32, , , , ,33, , , , ,33, , , , ,38, , , , ,28, , , , , , 
99,Senegal, , , , , , , , , , , , , , , , , , ,36, , , , ,34, , , , ,35, , , , ,31, , , , ,30, , , , ,30, , 
100,Serbia, , , , , , , , , , , , , , ,10, , , , ,8, , , , ,7, , , , ,6, , , , ,3, , , , ,6, , , , , , 
101,Sierra Leone, , , , , , , , , , , , , , ,51, , , , ,51, , , , ,50, , , , ,44, , , , ,35, , , , ,30, , , , , , 
102,Solomon Islands, , , , , , , , , , ,29, , , , ,26, , , , ,22, , , , ,26, , , , ,18, , , , ,21, , , , , , , , , , 
103,Somalia, ,39, , , , ,46, , , , ,50, , , , ,49, , , , ,44, , , , ,45, , , , , , , , , , , , , , , , , , , 
104,South Africa, , , , , , , , , , , ,11, , , , ,9, , , , ,6, , , , ,7, , , , ,6, , , , ,4, , , , , , , , , 
105,South Sudan, , , , , ,32, , , , ,32, , , , ,39, , , , ,45, , , , ,51, , , , ,52, , , , , , , , , , , , , , , 
106,Sri Lanka, , , , , , , , , , , ,13, , , , ,12, , , , ,12, , , , ,13, , , , ,11, , , , ,10, , , , , , , , , 
107,State of Palestine, , , , , , , , , , , , , , , ,35, , , , ,31, , , , ,27, , , , ,20, , , , ,15, , , , ,13, , , , , 
108,Sudan, , , , , , , , , ,43, , , , ,40, , , , ,38, , , , ,37, , , , ,37, , , , ,34, , , , , , , , , , , 
109,Suriname, , , , , , , , , , , , , ,24, , , , ,22, , , , ,28, , , , ,31, , , , ,28, , , , ,36, , , , , , , 
110,Syrian Arab Republic, ,21, , , , ,21, , , , ,20, , , , ,19, , , , ,17, , , , ,13, , , , , , , , , , , , , , , , , , , 
111,Tajikistan, , , , , , , , , , , , ,10, , , , ,23, , , , ,19, , , , ,10, , , , ,11, , , , ,9, , , , , , , , 
112,Thailand, , , , , , , , , , , , , , , , , ,20, , , , ,19, , , , ,18, , , , ,18, , , , ,20, , , , ,17, , , 
113,Timor-Leste, , , , , , , , , , , ,24, , , , ,23, , , , ,24, , , , ,21, , , , ,18, , , , ,15, , , , , , , , , 
114,Togo, , , , , , , , , , , , ,33, , , , ,31, , , , ,27, , , , ,25, , , , ,25, , , , ,25, , , , , , , , 
115,Tonga, , , , , , , , , , , , , , ,5, , , , ,5, , , , ,9, , , , ,5, , , , ,5, , , , ,10, , , , , , 
116,Trinidad and Tobago, , , , , , , , , , , , , , , , , ,11, , , , ,8, , , , ,7, , , , ,6, , , , ,6, , , , ,4, , , 
117,Tunisia, , , , , , , , , , , , , , , , , , ,5, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , 
118,Türkiye, , , , , , , , , , , , , ,25, , , , ,23, , , , ,19, , , , ,16, , , , ,16, , , , ,15, , , , , , , 
119,Turkmenistan, , , , , , , , , , , , , , ,5, , , , ,8, , , , ,7, , , , ,6, , , , ,5, , , , ,6, , , , , , 
120,Turks and Caicos Islands, , , , , , , , , , , , , , , ,4, , , , ,7, , , , ,10, , , , ,11, , , , ,7, , , , ,23, , , , , 
121,Tuvalu, , , , , , , , , , , , , , , ,14, , , , ,17, , , , ,13, , , , ,9, , , , ,7, , , , ,2, , , , , 
122,Uganda, , , , , , , , , , , ,52, , , , ,53, , , , ,50, , , , ,46, , , , ,38, , , , ,34, , , , , , , , , 
123,Ukraine, , , , , , , ,10, , , , ,15, , , , ,15, , , , ,12, , , , ,8, , , , ,9, , , , , , , , , , , , , 
124,United Republic of Tanzania, , , , , , , , , , , , , , , , , ,39, , , , ,35, , , , ,37, , , , ,31, , , , ,30, , , , ,29, , , 
125,Uruguay, , , , , , , , ,7, , , , ,13, , , , ,13, , , , ,18, , , , ,15, , , , ,25, , , , , , , , , , , , 
126,Uzbekistan, , , , , , , , , , , , , , , , , ,17, , , , ,13, , , , ,6, , , , ,5, , , , ,5, , , , ,3, , , 
127,Vanuatu, , , , , , , , , , , , , , , , , , ,20, , , , ,22, , , , ,21, , , , ,22, , , , ,21, , , , ,21, , 
128,Viet Nam, , , , , , , , , , , , , , , , ,15, , , , ,13, , , , ,10, , , , ,9, , , , ,11, , , , ,15, , , , 
129,Yemen, , , , , , , , , , , , , , , , , , ,53, , , , ,38, , , , ,35, , , , ,34, , , , ,35, , , , ,30, , 
130,Zambia, , , , , , , , , , , , , ,47, , , , ,43, , , , ,43, , , , ,38, , , , ,32, , , , ,29, , , , , , , 
131,Zimbabwe, , , , , , , , , , , , , , ,31, , , , ,30, , , , ,31, , , , ,31, , , , ,33, , , , ,34, , , , , , 
